MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Operator Informatio	Time:	89.36898	Sec	4/4/2014 1:55:08 PM
User	Luecke
Specimen	IF steel RD 4
Experiment	2014040401
material	Interstiial free steel
w 	12.638	mm
t	1.2	mm
Extensometer 1	3542-050M-050-ST G= 50mm
Extensometer 2	Instron diametral, NIST 635290
Gauge length pins free?	yes
Control Program	20140404-tension

User Test Notes	first test with Youngung
Operator Information End

Data Acquisition	Time:	224.81364	Sec	4/4/2014 1:57:23 PM
Time	Axial Displacement	Axial Force	Axial Strain
Sec	mm	N	mm/mm
122.5765	-8.1314125	-20.342424	-0.00092654198
122.67644	-8.1314125	77.01162	-0.0009198279
122.77637	-8.1280556	135.75975	-0.0009198279
122.8763	-8.1213417	249.89897	-0.0009198279
122.97624	-8.1280556	318.71823	-0.00093325606
123.07617	-8.1179848	377.46634	-0.00092654198
123.17611	-8.1112709	434.53595	-0.00092654198
123.27605	-8.1146278	491.60559	-0.00092654198
123.37598	-8.1179848	565.46039	-0.00092654198
123.47591	-8.107913	625.88702	-0.0009198279
123.57585	-8.1011992	714.84845	-0.00092654198
123.67578	-8.1045561	766.88257	-0.0009198279
123.77572	-8.1045561	803.80994	-0.00093325606
123.87566	-8.1011992	847.45142	-0.00092654198
123.97559	-8.0944853	949.84094	-0.00091311382
124.07552	-8.0978422	1037.1239	-0.00092654198
124.17546	-8.0877714	1104.2646	-0.00092654198
124.27539	-8.0844145	1159.6556	-0.00092654198
124.37533	-8.0844145	1273.795	-0.00092654198
124.47527	-8.0810575	1312.4009	-0.0009198279
124.5752	-8.0776997	1403.0409	-0.00092654198
124.67513	-8.0743427	1409.7549	-0.00091311382
124.77507	-8.0709858	1495.3593	-0.00092654198
124.875	-8.0676289	1544.0364	-0.0009198279
124.97494	-8.0676289	1574.2498	-0.00092654198
125.07487	-8.0642719	1634.6764	-0.00092654198
125.1748	-8.0542011	1656.4971	-0.00092654198
125.27474	-8.0575581	1695.103	-0.00092654198
125.37468	-8.0575581	1753.8512	-0.00092654198
125.47461	-8.0542011	1785.743	-0.00092654198
125.57455	-8.0474873	1817.6348	-0.0009198279
125.67448	-8.0407724	1839.4554	-0.00092654198
125.77441	-8.0407724	1881.4185	-0.00092654198
125.87435	-8.0374155	1898.2037	-0.0009198279
125.97429	-8.0374155	1925.0599	-0.00093325606
126.07422	-8.0374155	1950.2378	-0.0009198279
126.17416	-8.0307016	1968.7015	-0.00092654198
126.27409	-8.0307016	1963.6659	-0.00092654198
126.37402	-8.0273447	1997.2362	-0.00092654198
126.47396	-8.0239878	2007.3073	-0.00092654198
126.5739	-8.0206308	2040.8778	-0.00093325606
126.67383	-8.0172739	2039.1991	-0.00093325606
126.77377	-8.013916	2064.377	-0.00091311382
126.8737	-8.0072021	2092.9116	-0.0009198279
126.97363	-8.0072021	2082.8406	-0.00092654198
127.07357	-8.0072021	2086.1975	-0.00093325606
127.17351	-8.0004883	2109.6968	-0.00092654198
127.27344	-7.9971313	2118.0894	-0.00092654198
127.37337	-8.0004883	2113.054	-0.00093997008
127.47331	-7.9937744	2118.0894	-0.00092654198
127.57324	-7.990417	2092.9116	-0.00092654198
127.67318	-7.9837031	2173.4805	-0.0009198279
127.77312	-7.9870601	2141.5886	-0.0009198279
127.87305	-7.9803462	2124.8035	-0.0009198279
127.97298	-7.9837031	2138.2317	-0.00093325606
128.07292	-7.9769893	2119.7681	-0.00092654198
128.17285	-7.9769893	2176.8376	-0.00092654198
128.2728	-7.9702749	2163.4094	-0.00092654198
128.37273	-7.9702749	2163.4094	-0.0009198279
128.47266	-7.966918	2185.2302	-0.0009198279
128.5726	-7.9635611	2183.5518	-0.0009198279
128.67253	-7.9568467	2185.2302	-0.00092654198
128.77246	-7.9568467	2153.3384	-0.00093325606
128.87241	-7.9534898	2181.8733	-0.00093325606
128.97234	-7.9501328	2185.2302	-0.0009198279
129.07227	-7.9467759	2212.0864	-0.00093325606
129.17221	-7.9467759	2205.3726	-0.0009198279
129.27214	-7.9400616	2196.98	-0.00093325606
129.37207	-7.9367046	2198.6584	-0.00092654198
129.47202	-7.9333477	2207.051	-0.00092654198
129.57195	-7.9367046	2208.7295	-0.0009198279
129.67188	-7.9266334	2217.1221	-0.00092654198
129.77182	-7.9299908	2213.7651	-0.00092654198
129.87175	-7.9232764	2238.9429	-0.00091311382
129.97168	-7.9199195	2238.9429	-0.0009198279
130.07162	-7.9199195	2220.4792	-0.0009198279
130.17155	-7.9199195	2233.9072	-0.00092654198
130.27148	-7.9132051	2203.6938	-0.0009198279
130.37143	-7.9132051	2240.6213	-0.00092654198
130.47136	-7.9064913	2264.1206	-0.00092654198
130.57129	-7.9031343	2232.2288	-0.00092654198
130.67123	-7.8997774	2249.0139	-0.00092654198
130.77116	-7.8997774	2243.9785	-0.0009198279
130.87109	-7.9031343	2255.728	-0.00093325606
130.97104	-7.8930631	2267.4778	-0.00092654198
131.07097	-7.8897061	2237.2644	-0.00091311382
131.1709	-7.8863492	2274.1917	-0.0009198279
131.27084	-7.8863492	2250.6924	-0.00092654198
131.37077	-7.8829923	2255.728	-0.00092654198
131.4707	-7.8796349	2262.4421	-0.00092654198
131.57065	-7.8796349	2282.5842	-0.0009198279
131.67058	-7.872921	2254.0496	-0.0009198279
131.77051	-7.872921	2250.6924	-0.00092654198
131.87045	-7.8695641	2277.5488	-0.0009198279
131.97038	-7.8662066	2289.2983	-0.00093325606
132.07031	-7.8628497	2264.1206	-0.00092654198
132.17026	-7.8561358	2267.4778	-0.00092654198
132.27019	-7.8527789	2284.2629	-0.00092654198
132.37012	-7.8494215	2264.1206	-0.00093325606
132.47006	-7.8527789	2284.2629	-0.00093325606
132.56999	-7.8460646	2287.6199	-0.0009198279
132.66992	-7.8427076	2296.0125	-0.0009198279
132.76987	-7.8460646	2296.0125	-0.00093325606
132.8698	-7.8393507	2294.334	-0.00093325606
132.96973	-7.8393507	2302.7266	-0.0009198279
133.06967	-7.8359938	2296.0125	-0.00092654198
133.1696	-7.8292794	2312.7976	-0.00093325606
133.26953	-7.8326364	2304.405	-0.00093325606
133.36948	-7.8259225	2316.1548	-0.00092654198
133.46941	-7.8259225	2314.4763	-0.00093325606
133.56934	-7.8192081	2331.2615	-0.0009198279
133.66928	-7.8192081	2311.1191	-0.00093325606
133.76921	-7.8124943	2311.1191	-0.00093325606
133.86914	-7.8091373	2302.7266	-0.0009198279
133.96909	-7.8091373	2324.5474	-0.00093325606
134.06902	-7.8057804	2349.7251	-0.00092654198
134.16895	-7.802423	2329.5828	-0.00093997008
134.26889	-7.7990661	2314.4763	-0.00093325606
134.36882	-7.802423	2326.2258	-0.00092654198
134.46875	-7.7923522	2336.2969	-0.00092654198
134.5687	-7.7923522	2351.4036	-0.00092654198
134.66862	-7.7856379	2353.082	-0.0009198279
134.76855	-7.7856379	2358.1177	-0.00092654198
134.8685	-7.7822809	2344.6895	-0.00093325606
134.96843	-7.778924	2327.9043	-0.00093325606
135.06836	-7.7822809	2366.5103	-0.00092654198
135.1683	-7.7688527	2351.4036	-0.00092654198
135.26823	-7.7688527	2381.6169	-0.0009198279
135.36816	-7.7688527	2354.7607	-0.00093325606
135.46811	-7.7654958	2319.5117	-0.0009198279
135.56804	-7.7621388	2361.4749	-0.00093325606
135.66797	-7.7621388	2327.9043	-0.00092654198
135.76791	-7.7554245	2384.9741	-0.00092654198
135.86784	-7.7520676	2369.8674	-0.00092654198
135.96777	-7.7487106	2369.8674	-0.0009198279
136.06772	-7.7419963	2359.7961	-0.0009198279
136.16765	-7.7453537	2369.8674	-0.00092654198
136.26758	-7.7419963	2373.2244	-0.00093325606
136.36752	-7.7419963	2359.7961	-0.0009198279
136.46745	-7.7352824	2368.1887	-0.0009198279
136.56738	-7.7319255	2371.5459	-0.00092654198
136.66733	-7.7319255	2359.7961	-0.00093325606
136.76726	-7.7285686	2398.4019	-0.00093325606
136.86719	-7.7252111	2381.6169	-0.00092654198
136.96713	-7.7218542	2384.9741	-0.00092654198
137.06706	-7.7218542	2386.6526	-0.00093325606
137.16699	-7.7151403	2386.6526	-0.00093325606
137.26694	-7.7184973	2406.7944	-0.00093325606
137.36687	-7.7117834	2413.5085	-0.0009198279
137.4668	-7.708426	2386.6526	-0.00093997008
137.56674	-7.7050691	2420.2227	-0.00092654198
137.66667	-7.6983552	2391.688	-0.00092654198
137.7666	-7.6949978	2388.3311	-0.00093997008
137.86655	-7.6949978	2378.26	-0.00093325606
137.96648	-7.6916409	2393.3665	-0.00093997008
138.06641	-7.6916409	2418.5442	-0.00092654198
138.16635	-7.6815701	2411.8301	-0.00092654198
138.26628	-7.684927	2420.2227	-0.0009198279
138.36621	-7.684927	2421.9011	-0.0009198279
138.46616	-7.6782126	2413.5085	-0.00092654198
138.56609	-7.6748557	2400.0806	-0.00093325606
138.66602	-7.6748557	2406.7944	-0.00093325606
138.76596	-7.6714988	2433.6509	-0.00093997008
138.86589	-7.6681418	2416.8657	-0.00092654198
138.96582	-7.6647849	2413.5085	-0.00092654198
139.06577	-7.6614275	2437.0078	-0.00093997008
139.1657	-7.6580706	2445.4004	-0.00092654198
139.26563	-7.6580706	2442.0435	-0.00093325606
139.36557	-7.6547136	2437.0078	-0.00092654198
139.4655	-7.6513567	2431.9724	-0.00092654198
139.56543	-7.6446424	2435.3293	-0.00093325606
139.66537	-7.6412854	2443.7219	-0.00093325606
139.7653	-7.6379285	2435.3293	-0.00093997008
139.86523	-7.6412854	2443.7219	-0.00093325606
139.96518	-7.6379285	2431.9724	-0.00093325606
140.06511	-7.6345716	2447.0791	-0.00093325606
140.16504	-7.6278572	2455.4717	-0.00093325606
140.26498	-7.6278572	2460.5071	-0.00094668416
140.36491	-7.6278572	2472.2568	-0.00092654198
140.46484	-7.6177864	2455.4717	-0.00092654198
140.56479	-7.6177864	2473.9353	-0.00093325606
140.66472	-7.614429	2447.0791	-0.00093997008
140.76465	-7.6177864	2458.8286	-0.00093325606
140.86459	-7.6077151	2465.5427	-0.00093325606
140.96452	-7.6043582	2438.6863	-0.00092654198
141.06445	-7.6043582	2480.6494	-0.00093325606
141.1644	-7.5976439	2445.4004	-0.0009198279
141.26433	-7.6010008	2442.0435	-0.00093325606
141.36426	-7.5942869	2472.2568	-0.00093325606
141.4642	-7.5976439	2465.5427	-0.0009198279
141.56413	-7.59093	2457.1501	-0.00093325606
141.66406	-7.5875731	2463.8643	-0.00093325606
141.76401	-7.5842156	2447.0791	-0.00092654198
141.86394	-7.5808587	2468.8997	-0.00093325606
141.96387	-7.5775018	2465.5427	-0.00092654198
142.06381	-7.5808587	2477.2922	-0.00093325606
142.16374	-7.5674305	2472.2568	-0.00092654198
142.26367	-7.5741448	2477.2922	-0.00093325606
142.36362	-7.5674305	2500.7915	-0.00093325606
142.46355	-7.5640736	2472.2568	-0.0009198279
142.56348	-7.5607166	2475.6138	-0.00092654198
142.66342	-7.5573597	2515.8982	-0.0009198279
142.76335	-7.5573597	2504.1487	-0.00093325606
142.86328	-7.5540023	2504.1487	-0.00092654198
142.96323	-7.5506454	2487.3635	-0.00092654198
143.06316	-7.5472884	2490.7205	-0.00092654198
143.16309	-7.5439315	2510.8628	-0.00093997008
143.26303	-7.5405746	2492.3989	-0.00092654198
143.36296	-7.5405746	2514.2197	-0.00093325606
143.46289	-7.5372171	2504.1487	-0.00093325606
143.56284	-7.5305033	2507.5056	-0.00092654198
143.66277	-7.5338602	2525.9695	-0.00093325606
143.7627	-7.5305033	2495.7561	-0.00093325606
143.86264	-7.5271463	2517.5769	-0.00093997008
143.96257	-7.5237894	2527.6479	-0.00093325606
144.0625	-7.520432	2514.2197	-0.00092654198
144.16245	-7.5170751	2537.719	-0.00093325606
144.26237	-7.5137181	2492.3989	-0.00093325606
144.3623	-7.5070038	2542.7546	-0.0009198279
144.46225	-7.5103612	2519.2554	-0.00092654198
144.56218	-7.5002899	2532.6833	-0.00093325606
144.66211	-7.5002899	2519.2554	-0.0009198279
144.76205	-7.5002899	2557.8613	-0.00093325606
144.86198	-7.496933	2541.0762	-0.00092654198
144.96191	-7.4902186	2524.2908	-0.0009198279
145.06186	-7.4902186	2515.8982	-0.00093325606
145.16179	-7.4835048	2539.3975	-0.0009198279
145.26172	-7.4868617	2520.9338	-0.00092654198
145.36166	-7.4801478	2522.6123	-0.0009198279
145.46159	-7.4801478	2541.0762	-0.00093325606
145.56152	-7.4767909	2531.0049	-0.0009198279
145.66147	-7.4734335	2549.4688	-0.0009198279
145.7614	-7.4734335	2546.1116	-0.00092654198
145.86133	-7.4700766	2556.1826	-0.00092654198
145.96127	-7.4633627	2551.1472	-0.00091311382
146.0612	-7.4600053	2542.7546	-0.00092654198
146.16113	-7.4566483	2576.325	-0.00091311382
146.26108	-7.4566483	2532.6833	-0.0009198279
146.36101	-7.4499345	2569.6108	-0.00092654198
146.46094	-7.4532914	2554.5042	-0.0009198279
146.56088	-7.4465775	2556.1826	-0.00092654198
146.66081	-7.4465775	2571.2893	-0.00093325606
146.76074	-7.4432201	2552.8257	-0.0009198279
146.86069	-7.4365063	2547.79	-0.00092654198
146.96062	-7.4331493	2571.2893	-0.00092654198
147.06055	-7.4331493	2571.2893	-0.00092654198
147.16049	-7.4297924	2567.9324	-0.00091311382
147.26042	-7.4230781	2576.325	-0.0009198279
147.36035	-7.426435	2552.8257	-0.00091311382
147.4603	-7.4230781	2594.7886	-0.00092654198
147.56023	-7.4197211	2579.6819	-0.00092654198
147.66016	-7.4197211	2556.1826	-0.00092654198
147.7601	-7.4130068	2572.968	-0.00093325606
147.86003	-7.4096498	2594.7886	-0.00092654198
147.95996	-7.4096498	2593.1101	-0.0009198279
148.05991	-7.402936	2589.7532	-0.00092654198
148.15984	-7.399579	2606.5383	-0.0009198279
148.25977	-7.3962216	2588.0747	-0.00092654198
